Name
Mr John Adam
Mrs Mary Albert
Mr William Alexander
Ms Anna Anderson
Mr James Andrews
Mrs Emma Ashcroft
Mr Charles Bailey
Ms Elizabeth Bainbridge
Mr George Bale
Mrs Minnie Ball
Mr Frank Barnard
Ms Margaret Barnes
Mr Joseph Barnett
Mrs Ida Beattie
Mr Thomas Chance
Ms Alice Clark
Mr Henry Clegg
Mrs Bertha Collins
Mr Robert Copeland
Ms Sarah Cowell
Mr Edward Crosby
Mrs Annie Cummings
Mr Harry Davidson
Ms Clara Deeley
Mr Walter Dexter
Mrs Ella Donaldson
Mr Arthur Easton
Ms Florence Eccles
Mr Fred Eddison
Mrs Cora Edmond
Mr Albert Eldridge
Ms Martha Elliot
Mr Samuel Emerson
Mrs Laura Fairclough
Mr David Farrow
Ms Nellie Faulkner
Mr Louis Fielding
Mrs Grace Fitzpatrick
Mr Joe Forrester
Ms Carrie Frazer
Mr Charlie Frederick
Mrs Maude Garner
Mr Clarence Gemmell
Ms Mabel Gillespie
Mr Richard Glass
Mrs Bessie Goldberg
Mr Andrew Graham
Ms Jennie Greenwood
Mr Daniel Hackett
Mrs Gertrude Hamilton
Mr Ernest Hardy
Ms Julia Hennessy
Mr Will Higgs
Mrs Hattie Hodges
Mr Jesse Holmes
Ms Edith Howard
Mr Oscar Ingham
Mrs Mattie Irwin
Mr Lewis James
Ms Rose Jennings
Mr Peter Johnson
Mrs Catherine Kane
Mr Benjamin Keane
Ms Lillian Kemp
Mr Frederick Lennox
Mrs Ada Linford
Mr Willie Marlow
Ms Lillie Matthews
Mr Alfred Millett
Mrs Helen Milner
Mr Sam Morrison
Ms Jessie Osborne
Mr Roy Oxley
Mrs Louise Parkins
Mr Herbert Patrick
Ms Ethel Pegg
Mr Jacob Powell
Mrs Lula Redmond
Mr Tom Rhodes
Ms Myrtle Rowlands
Mr Carl Sampson
Mrs Eva Seymour
Mr Lee Shackleton
Ms Frances Shipley
Mr Howard Slade
Mrs Lena Southgate
Mr Martin Taylor
Ms Lucy Tindall
Mr Michael Tomkins
Mrs Edna Tomlinson
Mr Bert Trafford
Ms Maggie Tucker
Mr Herman Upton
Mrs Pearl Vernon
Mr Jim Wainwright
Ms Daisy Walton
Mr Eugene Wells
Mrs Fannie Williams
Mr Alex Wright
Ms Josephine Yates
